Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Pathway,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
GPX4,Glutathione peroxidase 4,HGNC:4556,"Ex vivo, Gpx4-deficient T cells rapidly accumulated membrane lipid peroxides and concomitantly underwent cell death driven by ferroptosis.","Viability assays, flow cytometry, lipid peroxidation assay",Mice,T cells,GPX4 :-: Ferroptosis,Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),25824823,_NA_
GCLC,Glutamate-cysteine ligase catalytic subunit,HGNC:4311,RNAi knockdown sensitized cell death induced by cystine starvation.,"RNAi, qPCR",Mice,Mouse embryonic fibroblasts,"GCLC :+: GSH, GSH :-: Ferroptosis",Validated,_NA_,Glutamate--cysteine ligase catalytic subunit,P48506 (GSH1_HUMAN),26166707,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Overexpression of SLC7A11 considerably abrogated ferroptosis.,"Cell death quantification, gene transfection, western blot",Human,H1299 cells,SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),26218928,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,NRF2 plays a central role in protecting hepatocellular carcinoma (HCC) cells against ferroptosis,"Cell Viability Analysis, western blot, RNAi, qRT-PCR","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells, C57BL/6 mice","NFE2L2 :+: (NQO1/HMOX1/FTH1), (NQO1/HMOX1/FTH1) :-: Ferroptosis",Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),26403645,NRF2 in article
SQSTM1,Sequestosome 1,HGNC:11280,"The interaction between p62 and Keap1 increased following erastin and sorafenib treatment. Knockdown of p62 suppressed NRF2 expression and promoted growth inhibition with increased ferroptotic events including GSH depletion, lipid ROS production, and an increase of iron levels.","Immunoprecipitation assay, shRNA knockdown, iron assay, lipid peroxidation assay, glutathione assay, cell viability","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells","SQSTM1 :-: KEAP1, KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis",Validated,_NA_,Sequestosome-1,Q13501 (SQSTM_HUMAN),26403645,p62 in article.
NQO1,NAD(P)H quinone dehydrogenase 1,HGNC:2874,"Knockdown of p62, quinone oxidoreductase‐1, heme oxygenase‐1, and ferritin heavy chain‐1 by RNA interference in HCC cells promoted ferroptosis in response to erastin and sorafenib.","qRT‐PCR, RNA interference","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells",NQO1 :-: Ferroptosis,Validated,_NA_,NAD(P)H dehydrogenase [quinone] 1,P15559 (NQO1_HUMAN),26403645,_NA_
HMOX1,Heme oxygenase 1,HGNC:5013,"Knockdown of p62, quinone oxidoreductase‐1, heme oxygenase‐1, and ferritin heavy chain‐1 by RNA interference in HCC cells promoted ferroptosis in response to erastin and sorafenib.","qRT‐PCR, RNA interference","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells",HMOX1 :-: Ferroptosis,Validated,Article (PMID 26405158) suggests it a driver.,Heme oxygenase 1,P09601 (HMOX1_HUMAN),26403645,HO1 in article
FTH1,Ferritin heavy chain 1,HGNC:3976,"Knockdown of p62, quinone oxidoreductase‐1, heme oxygenase‐1, and ferritin heavy chain‐1 by RNA interference in HCC cells promoted ferroptosis in response to erastin and sorafenib.","qRT‐PCR, RNA interference","Human, mice","HepG2, Hepa1‐6, Hep3B, and SNU‐182 cells",FTH1 :-: Ferroptosis,Validated,_NA_,Ferritin heavy chain,P02794 (FRIH_HUMAN),26403645,_NA_
MUC1,"Mucin 1, cell surface associated",HGNC:7508,MUC1-C (C-terminal subunit) blocks erastin-induced ferroptosis and induces increases in GSH.,"shRNA, GSH level measurement, cell death test",Human,"MDA-MB-468, BT-20 cells","MUC1 :+: System Xc-, System Xc- :+: GSH, GSH :-: Ferroptosis",Validated,_NA_,Mucin-1,P15941 (MUC1_HUMAN),26930718,_NA_
SLC3A2,Solute carrier family 3 member 2,HGNC:11026,Required for in vitro cell survival because of its role in protecting cells from ferroptosis.,Cell survival test,Mice,Mouse ES-derived fibroblasts,"SLC3A2 :+: System Xc-, System Xc- :-: Ferroptosis",Validated,_NA_,4F2 cell-surface antigen heavy chain,P08195 (4F2_HUMAN),26945935,CD98hc in article
MT1G,Metallothionein 1G,HGNC:7399,"A negative regulator of ferroptosis in HCC cells. Knockdown of MT‐1G by RNA interference increases glutathione depletion and lipid peroxidation, which contributes to sorafenib‐induced ferroptosis.","RNA interference, cell viability assay, colony formation assay, western blot, qRT-PCR, glutathione assay, lipid peroxidation assay","Human, mice","HCC cells (HepaG2, Hep3B, and Huh7 cells), nude mice.",MT1G :-: Ferroptosis,Validated,_NA_,Metallothionein-1G,P13640 (MT1G_HUMAN),27015352,MT‐1G in article
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Required for sorafenib‐induced expression of MT‐1G which is a ferroptosis suppressor.,"shRNA, qRT-PCR, western blot",Human,Huh7 and/or HepG2 cells,"NFE2L2 :+: MT1G, MT1G :-: Ferroptosis",Deduced,"Its ability to induce MT1G was validated, but its role in ferroptosis needs validation.",Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),27015352,NRF2 in article
SLC40A1,Solute carrier family 40 member 1,HGNC:10909,Involved in siramesine and lapatinib-induced ferroptotic cell death. Its expression is decreased after treatment with siramesine alone or in combination with lapatinib. Overexpression FPN resulted in decreased ROS and cell death whereas knockdown of FPN increased cell death after siramesine and lapatinib treatment.,"Western blot, densitometry quantification, siRNA, gene transfection, cell death test",Human,MDA MB 231 and SKBr3 cells,"SLC40A1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Solute carrier family 40 member 1,Q9NP59 (S40A1_HUMAN),27441659,Ferroportin-1 (FPN) in article
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Knockdown increased cell death.,"siRNA, western blot, cell death test",Human,MDA MB 231 cells,"SLC7A11 :+: GSH, GSH :-: Ferroptosis",Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),27441659,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Knockdown increased cell death.,"siRNA, western blot, cell death test",Human,MDA MB 231 and SKBr3 cells,GPX4 :-: Ferroptosis,Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),27441659,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Inhibition induces ferroptosis. Silencing of the SLC7A11 gene increases the cisplatin sensitivity of resistant HNC cells.,"Cell viability, western blot, siRNA or shRNA, glutathione and ROS production measurements","Human, mice","AMC-HN3R, -HN4R, and -HN9R head and neck cancer cells, BALB/c male nude mice",SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),27477897,_NA_
CISD1,CDGSH iron sulfur domain 1,HGNC:30880,Genetic inhibition of CISD1 contributes to erastin-induced ferroptosis. Stabilization of the iron sulfur cluster of CISD1 inhibits ferroptosis.,"Cytotoxicity assays, western blot, q-PCR, RNAi",Human,HepG2 and Hep3B cells,"CISD1 :-: Mitochondrial lipid ROS, Mitochondrial lipid ROS :+: Ferroptosis",Validated,_NA_,CDGSH iron-sulfur domain-containing protein 1,Q9NZ45 (CISD1_HUMAN),27510639,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Elevated levels of expression are resistant to erastin-induced ferroptosis. Repression of SLC7A11 expression by p53 sensitized cells to undergo erastin-induced ferroptosis.,"Western blot, cell death assay, qPCR",Human,H1299 cells,SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),27705786,_NA_
FANCD2,FA complementation group D2,HGNC:3585,Inhibits erastin-induced ferroptosis. Plays a novel role in the negative regulation of ferroptosis.,"Cell viability assay, Q-PCR, western blot, iron assay, lipid peroxidation assay, glutathione assay",Mice,Bone marrow stromal cells,FANCD2 :-: Ferroptosis,Validated,_NA_,Fanconi anemia group D2 protein,Q9BXW9 (FACD2_HUMAN),27773819,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Protects lipid peroxidation. Cell damage induced by GPx4 ablation is involved in ferroptosis.,"RT-PCR, western blot, cytotoxicity assay, cell proliferation assay, siRNA",Human,Umbilical vein endothelial cell,"GPX4 :-: LDH, LDH :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),27964880,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Nrf2 activation contributes to the resistance of HNCs to artesunate-induced ferroptosis. Nrf2 inhibition sensitizes head and neck cancer cells to artesunate-induced ferroptosis.,"Cell viability assay, RNAi, gene transfection, western blot",Mice,"Head and neck cancer cells (HN2–10), nude mice",NFE2L2 :-: Ferroptosis,Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),28012440,NRF2 in article
FTMT,Ferritin mitochondrial,HGNC:17345,Overexpression significantly inhibited erastin-induced ferroptosis.,"Cell viability assay, western blot","Mice, fly","SH-SY5Y cells, drosophila melanogasters W1118, elav-Gal4 and UAS-Fer3HCH","FTMT :-: Labile iron pool, Labile iron pool :+: Ferroptosis",Validated,_NA_,Ferritin,Q8N4E7 (FTMT_HUMAN),28066232,_NA_
HSPA5,Heat shock protein family A (Hsp70) member 5,HGNC:5238,Negatively regulates ferroptosis. Suppression of HSPA5 expression increased erastin-induced death. Overexpressed HSPA5 inhibited erastin-induced ferroptotic cell death.,"Cell viability assay, western blot, shRNA, gene transfection","Human, mice","Pancreatic ductal adenocarcinoma cell lines (PANC1, CFPAC1, MiaPaCa2), nude mice, B6 mice","HSPA5 :+: GPX4, GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Endoplasmic reticulum chaperone BiP,P11021 (BIP_HUMAN),28130223,_NA_
ATF4,Activating transcription factor 4,HGNC:786,"Inhibition of ATF4 expression increased erastin-induced cell death. ATF4 results in the induction of HSPA5, which in turn protects against GPX4 protein degradation and subsequent ferroptosis.","CCK8 cell viability assay, clonogenic cell survival assay, western blot, q-PCR, RNAi",Human,"Pancreatic ductal adenocarcinoma cells (e.g., PANC1, CFPAC1, MiaPaCa2, and Panc2.03)","ATF4 :+: HSPA5, HSPA5 :+: GPX4, GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Cyclic AMP-dependent transcription factor ATF-4,P18848 (ATF4_HUMAN),28130223,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Slc7a11 deletion increases susceptibility to iron overload-induced ferroptosis.,"Cell viability, RNAi, RT-PCR",Mice,"Mice, hepatocytes, bone marrow–derived macrophages",SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),28195347,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Ferroptosis drives neurodegeneration in Gpx4BIKO mice.,"RT-qPCR, behavior test, western blot",Mice,Forebrain neurons of Gpx4BIKO mice and Gpx4(f/f) mice,GPX4 :-: Ferroptosis,Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),28212525,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Downregulation conferred increased sensitivity to ferroptosis following cystine deprivation.,"Immunoblotting, cell viability",Human,Human mammary epithelial cells,"GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),28297659,_NA_
HMOX1,Heme oxygenase 1,HGNC:5013,Demonsrates antiferroptotic role. HO-1 deficiency promotes erastin-induced ferroptosis.,"RT-PCR, western blot, cell viability, siRNA",Mice,Renal proximal tubule cells,HMOX1 :-: Ferroptosis,Validated,Article (PMID 26405158) suggests it a driver.,Heme oxygenase 1,P09601 (HMOX1_HUMAN),28515173,HO-1 in article
ATF4,Activating transcription factor 4,HGNC:786,ATF4 expression induces acquired cell death resistance. ATF4 knockdown renders cells susceptible for ferroptosis.,"siRNA, cell transfection, cell viability assay, RT-PCR, immunoblotting",Human,U87 and U251 glioblastoma cells,"ATF4 :+: xCT, xCT :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Cyclic AMP-dependent transcription factor ATF-4,P18848 (ATF4_HUMAN),28553953,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Nrf2 over expression promotes resistance to ferroptosis.,Cell growth assay,"Human, rat","F98, U87 glioma cells","NFE2L2 :+: xCT, xCT :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),28805788,Nrf2 in article
TP53,Tumor protein p53,HGNC:11998,Inhibits ferroptosis in human colorectal cancer (CRC) cells. Loss of TP53 restored erastin sensitivity. Inhibits cell death induction by erastin in human CRC cells.,"RNAi, live-cell imaging, cell viability, qPCR, western blot","Human, mice","HCT116, athymic nude mice","TP53 :+: Nucleus DPP4, Nucleus DPP4 :+: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,Promotes ferroptosis via a transcription-dependent mechanism in non-CRC cells.,Cellular tumor antigen p53,P04637 (P53_HUMAN),28813679,_NA_
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Knockdown sensitized cells to erastin.,"shRNA, cell viability",Human,HCT116,SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),28813679,_NA_
HELLS,"Helicase, lymphoid specific",HGNC:4861,LSH inhibits ferroptosis by decreasing the intracellular levels of iron and lipid ROS.,"Plate-colony formation assay; measurement of total ROS, Lipid ROS, and intracellular iron","Human, mice","Lung cancer H358 and PC9 cells, SCID Mice","HELLS :+: GLUT1, HELLS :+: SCD, HELLS :+: FADS2, GLUT1 :-: Ferroptosis, SCD :-: Ferroptosis, FADS2 :-: Ferroptosis",Validated,_NA_,Lymphoid-specific helicase,Q9NRZ9 (HELLS_HUMAN),28900510,LSH in article
SCD,Stearoyl-CoA desaturase,HGNC:10571,Depletion of the SCD1 and FADS2 metabolic genes induces ferroptosis.,"shRNA, RT-qPCR, MTT assay, total iron detection, lipid ROS detection",Human,A549 cancer cells,SCD :-: Ferroptosis,Validated,_NA_,Acyl-CoA desaturase,O00767 (ACOD_HUMAN),28900510,SCD1 in article
FADS2,Fatty acid desaturase 2,HGNC:3575,Depletion of the SCD1 and FADS2 metabolic genes induces ferroptosis.,"shRNA, RT-qPCR, MTT assay, total iron detection, lipid ROS detection",Human,A549 cancer cells,FADS2 :-: Ferroptosis,Validated,_NA_,Acyl-CoA 6-desaturase,O95864 (FADS2_HUMAN),28900510,_NA_
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",HGNC:11283,"Src-STAT3 activation renders the cell unable to undergo to ferroptosis. Src inhibition decreased cell viability significantly, and that loss of viability was rescued by ferroptosis inhibitors.","Immunoblotting, RNAi, qPCR, western blot, cell viability",Human,MCF-10A and SUM-159 cells,"SRC :+: STAT3, STAT3 :-: ACSL4, ACSL4 :+: Ferroptosis",Validated,_NA_,Proto-oncogene tyrosine-protein kinase Src,P12931 (SRC_HUMAN),28972104,_NA_
STAT3,Signal transducer and activator of transcription 3,HGNC:11364,Src-STAT3 activation renders the cell unable to undergo to ferroptosis.,"Immunoblotting, RNAi, qPCR, western blot, cell viability",Human,MCF-10A and SUM-159 cells,"STAT3 :-: ACSL4, ACSL4 :+: Ferroptosis",Validated,_NA_,Signal transducer and activator of transcription 3,P40763 (STAT3_HUMAN),28972104,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,ARF-mediated ferroptosis was largely abrogated by co-expression of NRF2.,"Gene transfection, cell death quantification","Human, mice","H1299, SaoS2, U2OS cells, nude mice","NFE2L2 :+: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),28985506,NRF2 in article
PML,Promyelocytic leukemia,HGNC:9113,PML expression turned cells highly resistant to ferroptosis.,Cell death assessment,Human,IMR90 cells,PML :-: Ferroptosis,Validated,_NA_,Protein PML,P29590 (PML_HUMAN),29081404,_NA_
MTOR,Mechanistic target of rapamycin kinase,HGNC:3942,"Necessary and sufficient to protect cardiomyocyte cells against ferroptotic cell death. mTOR overexpression suppressed ferroptotic cell death, whereas mTOR deletion exaggerated cell death.","Cell viability assay, ROS production assay, western blot",Mice,"Cardiomyocyte cell, C57BL/6 mice",MTOR :-: Ferroptosis,Validated,_NA_,Serine/threonine-protein kinase mTOR,P42345 (MTOR_HUMAN),29127238,_NA_
NFS1,NFS1 cysteine desulfurase,HGNC:15910,Suppression of NFS1 cooperates with inhibition of cysteine transport to trigger ferroptosis in vitro and slow tumour growth. Suppression of NFS1 predisposes cancer cells to ferroptosis.,"RNAi, cell viability assay,flow cytometry",Human,"MDA-MB-231 cells, NOD.CB17 Scid/J mice","NFS1 :-: TFRC, TFRC :+: Ferroptosis",Validated,_NA_,Cysteine desulfurase,Q9Y697 (NFS1_HUMAN),29168506,_NA_
TP63,Tumor protein p63,HGNC:15979,Delta Np63 alpha can inhibit ferroptosis independent of p53. Overexpression protects cells from ferroptosis-inducing agents.,"siRNA, cell death quantification",Human,ME-180 cells,TP63 :-: Ferroptosis,Validated,_NA_,Tumor protein 63,Q9H3D4 (P63_HUMAN),29212036,Delta Np63 alpha in article
SLC7A11,Solute carrier family 7 member 11,HGNC:11059,Overexperession of SLC7A11 attenuated BAY-inhibited cell viability by ferroptosis.,"Cell viability assay, qRT-PCR, shRNA, gene overexpression, western blot",Human,"MDA-MB-231,  MDA-MB-468, DBTRG-05MG",SLC7A11 :-: Ferroptosis,Validated,_NA_,Cystine/glutamate transporter,Q9UPY5 (XCT_HUMAN),29274359,_NA_
TP53,Tumor protein p53,HGNC:11998,p53 stabilization suppresses ferroptosis. p53 suppresses metabolic stress-induced ferroptosis.,"Immunoblotting, cell death quantification, time-lapse imaging",Human,HT-1080 cells,"TP53 :+: CDKN1A, CDKN1A :+: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,Found to promote ferroptosis by other studies.,Cellular tumor antigen p53,P04637 (P53_HUMAN),29346757,p53 in article
CDKN1A,Cyclin dependent kinase inhibitor 1A,HGNC:1784,Required to to suppress ferroptosis.,"CRISPR, shRNA, immunoblotting, cell-cycle profile, cell death quantification",Human,HT-1080 cells,"CDKN1A :+: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Cyclin-dependent kinase inhibitor 1,P38936 (CDN1A_HUMAN),29346757,Encoding p21
MIR137,microRNA 137,HGNC:31523,Suppresses ferroptosis both in vitro and in vivo.,"Immunoblotting, luciferase reporter assay, qRT-PCR, cell viability assay, colony formation assay, malondialdehyde assay, iron assay, flow cytometer, shRNA, xenograph mouse model","Human, mice","Melanoma cell lines A375 and G-361, C57BL/6 mice","MIR137 :-: SLC1A5, SLC1A5 :+: Glutaminolysis, Glutaminolysis :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,_NA_,_NA_,29348676,_NA_
SLC40A1,Solute carrier family 40 member 1,HGNC:10909,Overexpression of Fpn inhibited ferroptosis.,"Cell viability assay, lipid ROS measurement, RT-qPCR, western blot",Mice,TM4 Sertoli cells,"SLC40A1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Solute carrier family 40 member 1,Q9NP59 (S40A1_HUMAN),29436589,Fpn in article
GPX4,Glutathione peroxidase 4,HGNC:4556,Activation blocked ferroptosis.,"Cell viability assay, lipid ROS measurement, RT-qPCR, western blot",Mice,TM4 Sertoli cells,"GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),29436589,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,"GPX4-overexpressing cells were resistant to reactive oxygen species-induced cell death. Conversely, GPX4-knockdown cells were sensitive to reactive oxygen species-induced cell death.","Immunohistochemistry, qRT-PCR,lentiviral transduction, shRNA, flow cytometry, cell viability assay",Human,LCL-K cell,"GPX4 :-: 8-OHdG, 8-OHdG :+: Ferroptosis",Deduced,The authors did not determine wether the ROS-induced cell death is related to ferroptosis or not.,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),29463878,_NA_
ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase 2,HGNC:3357,Overexpression modestly promotes migration and proliferation and significantly inhibits erastin-induced ferroptosis.,"Cell viability assay, qRT-PCR, western blot, ROS measurement, ELISA",Rat,H9c2 cells,ENPP2 :-: Ferroptosis,Validated,_NA_,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Q13822 (ENPP2_HUMAN),29551679,_NA_
VDAC2,Voltage dependent anion channel 2,HGNC:12672,Overexpression could partially protect cells from ferroptosis.,"Western blot, cell viability assay",Human,HT1080 cells,VDAC2 :-: Ferroptosis,Validated,_NA_,Voltage-dependent anion-selective channel protein 2,P45880 (VDAC2_HUMAN),29569437,_NA_
FH,Fumarate hydratase,HGNC:3700,FH inactivation (FH-/- ) proves synthetic lethal with inducers of ferroptosis. FH-/- sensitizes cells to multiple ferroptosis inducers.,"CRISPR/Cas9, sgRNA, cell viability assay, immunoblotting, qPCR, ",Human,"UOK262, HT1080, HK2, A498 cells","FH :+: GPX4, GPX4 :-: Ferroptosis",Validated,_NA_,Fumarate hydratase,P07954 (FUMH_HUMAN),29917289,_NA_
CISD2,CDGSH iron sulfur domain 2,HGNC:24212,Overexpression conferred resistance to ferroptosis. Inhibition blocked resistance to ferroptotic cell death.,"Cell viability and death assay, GSH and ROS levels and lipid peroxidation assays, RNAi, gene transfection, immunoblotting",Human,Head and neck cancer cells,"CISD2 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,CDGSH iron-sulfur domain-containing protein 2,Q8N5K1 (CISD2_HUMAN),29928961,_NA_
SLC40A1,Solute carrier family 40 member 1,HGNC:10909,A negative regulator of ferroptosis by reducing intracellular iron concentration. Knockdown accelerates erastin-induced ferroptosis.,"Cell viability, qRT-PCR, western blot, siRNA",Human,SH-SY5Y cells,"SLC40A1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Solute carrier family 40 member 1,Q9NP59 (S40A1_HUMAN),29949159,Ferroportin in article
